Opportunity ID #;OG;Industry Segment;ToW;Closed Quarter;IC  -  Net Revenue;MC  -  Net Revenue;SC  -  Net Revenue;SI  -  Net Revenue;TC  -  Net Revenue;AO  -  Net Revenue;BPO  -  Net Revenue;IO  -  Net Revenue;Responsible Business Entity;Contract Extension Flag;Software Delivery;Client Location
350448;Health & Public Service;H&PS Health;C;FY16Q4;S;S;S;S;S;S;S;S;OG;N;Y;France
354440;Health & Public Service;H&PS Citizen Service;O;FY16Q2;S;S;S;S;S;S;S;S;Technology;N;Y;Belgium
444136;Financial Services;FS Insurance;O;FY16Q1;S;S;S;S;S;S;S;S;Technology;N;N;France
448612;Resources;RS Util;C;FY16Q1;S;S;S;S;S;S;S;S;OG;N;N;France
450373;Products;PD Transp Svc;O;FY16Q1;S;S;S;S;S;S;M;S;Operations;N;N;Netherlands
450542;Products;PD Ind Equip;C;FY16Q1;S;S;M;M;S;S;S;S;OG;N;Y;Belgium
452628;Resources;RS Util;C;FY16Q1;S;S;S;M;S;S;S;S;Digital;N;N;Netherlands
452675;Resources;RS Util;O;FY16Q1;S;S;S;S;S;M;S;S;Technology;N;N;Netherlands
457449;Products;PD Retail;C;FY16Q3;S;S;S;S;S;S;S;S;Strategy;N;N;Netherlands
457675;Health & Public Service;H&PS Citizen Service;C;FY16Q3;S;S;S;S;M;S;S;S;OG;Y;N;France
458309;Resources;RS Chem;C;FY16Q2;S;S;S;S;S;S;S;S;Digital;N;N;Netherlands
467215;Resources;RS Util;C;FY16Q1;S;S;S;S;L;S;S;S;OG;N;N;France
468042;Communications, Media & Technology;CMT C&M;C;FY16Q3;S;S;S;S;S;S;S;S;Operations;N;N;France
474204;Health & Public Service;H&PS Citizen Service;CO;FY16Q2;S;S;S;M;S;L;S;S;Digital;N;N;Netherlands
477678;Resources;RS Nat Res;O;FY16Q3;S;S;S;S;S;S;L;S;Operations;N;N;Belgium
477844;Resources;RS Chem;C;FY16Q1;S;S;S;S;S;S;S;S;Digital;N;N;Netherlands
483761;Health & Public Service;H&PS Citizen Service;C;FY16Q3;S;S;S;S;S;S;S;S;Technology;N;N;Belgium
485151;Products;PD Ind Equip;C;FY16Q3;S;S;S;XL;S;S;S;S;Technology;N;N;France
494891;Resources;RS Util;O;FY16Q1;S;S;S;S;S;S;L;S;Operations;N;N;France
495920;Resources;RS Util;C;FY16Q1;S;S;S;S;L;S;S;S;OG;N;N;France
499593;Health & Public Service;H&PS Citizen Service;C;FY16Q3;S;S;S;S;S;S;S;S;OG;N;N;France
499769;Health & Public Service;H&PS Citizen Service;C;FY16Q4;S;S;S;S;S;S;S;S;OG;N;N;France
500983;Health & Public Service;H&PS Defns/PubSafety;C;FY16Q3;S;L;S;L;L;S;S;S;OG;N;N;Netherlands
502208;Resources;RS Energy;C;FY16Q1;S;S;S;S;S;S;S;S;OG;N;N;Netherlands
503114;Communications, Media & Technology;CMT C&M;O;FY16Q1;S;S;S;S;S;L;S;S;Technology;Y;Y;Netherlands
505688;Products;PD Con Goods & Srvcs;CO;FY16Q1;S;S;S;M;S;S;S;S;Digital;N;N;France
514660;Resources;RS Chem;C;FY16Q3;S;S;S;S;S;S;S;S;Strategy;N;N;Belgium
514661;Communications, Media & Technology;CMT C&M;C;FY16Q1;S;S;S;S;S;S;S;S;OG;N;Y;France
518211;Products;PD Ind Equip;C;FY16Q3;S;M;S;S;S;S;S;S;OG;N;N;France
520362;Resources;RS Util;C;FY16Q1;S;S;S;S;M;S;S;S;OG;Y;Y;Netherlands
520717;Products;PD Ind Equip;C;FY16Q3;S;S;S;S;L;S;S;S;OG;N;N;France
522167;Health & Public Service;H&PS Citizen Service;C;FY16Q1;S;S;S;S;S;S;S;S;OG;N;N;France
523020;Resources;RS Util;C;FY16Q2;S;S;S;S;L;S;S;S;OG;N;Y;France
525850;Resources;RS Energy;C;FY16Q1;S;S;S;M;S;S;S;S;Digital;Y;Y;France
529012;Resources;RS Energy;C;FY16Q1;S;S;S;S;S;S;S;S;OG;N;N;Netherlands
529550;Resources;RS Util;CO;FY16Q1;S;S;S;L;S;M;S;L;OG;N;Y;France
533497;Health & Public Service;H&PS Citizen Service;CO;FY16Q2;S;S;S;L;L;L;S;S;Digital;N;N;France
534440;Resources;RS Util;O;FY16Q1;S;S;S;S;S;L;S;S;Technology;Y;Y;Belgium
535665;Products;PD Transp Svc;O;FY16Q1;S;S;S;S;S;S;S;S;Technology;N;Y;France
537322;Resources;RS Energy;C;FY16Q1;S;S;S;S;S;S;S;S;Technology;N;N;Netherlands
538920;Health & Public Service;H&PS Defns/PubSafety;C;FY16Q1;S;S;S;S;S;S;S;S;OG;N;N;France
540007;Resources;RS Nat Res;C;FY16Q3;S;S;M;S;S;S;S;S;Strategy;N;N;France
540606;Resources;RS Util;C;FY16Q2;S;S;S;S;S;S;S;S;Technology;N;N;France
542289;Health & Public Service;H&PS Health;O;FY16Q1;S;S;S;S;S;M;S;S;Digital;N;Y;Netherlands
544412;Resources;RS Util;C;FY16Q2;S;S;S;XL;L;S;S;S;Technology;N;N;Netherlands
545291;Resources;RS Energy;C;FY16Q2;S;S;S;M;S;S;S;S;Digital;N;N;Netherlands
546062;Resources;RS Util;O;FY16Q1;S;S;S;S;S;S;S;S;Operations;N;N;Netherlands
547504;Resources;RS Util;CO;FY16Q2;S;M;S;S;S;S;M;S;OG;N;N;France
549966;Communications, Media & Technology;CMT C&M;O;FY16Q4;S;S;S;S;S;L;S;S;Technology;N;N;Luxembourg
554702;Communications, Media & Technology;CMT E&HT;CO;FY16Q4;S;M;S;S;S;S;XL;S;Operations;N;Y;Netherlands
557192;Health & Public Service;H&PS Citizen Service;C;FY16Q4;S;S;S;S;S;S;S;S;OG;N;N;France
